cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Electricity-only generation,energy_generation_electricity_only,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,CHP Generation,energy_generation_chp_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Heat/cold generation,energy_generation_heat_cold_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Local renewable generation,energy_generation_local_renewable_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Residential buildings,stationary_energy_residential_buildings,12990244760.889776,266605.3377859542,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Commercial buildings & facilities,stationary_energy_commercial_buildings,8688054174.902489,105127.52838534501,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Institutional buildings & facilities,stationary_energy_institutional_buildings,2661086111.049823,55544.7631781748,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Industrial buildings & facilities,stationary_energy_industry,710576195.620809,48322.370922363,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Agriculture,stationary_energy_agriculture_forestry_fisheries,980796.67148943,72.6805642254,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Stationary energy,stationary_energy,Fugitive emissions,stationary_energy_fugitive_emissions,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Transport,transportation,On-road,transportation_on_road,3106800464.907831,221181.72005267,
